Number_of_Customers,Food_Prepared_kg,Food_Consumed_kg,Food_Category,Day_of_Week,Holiday_Event,Previous_Food_Waste_kg,Temperature_C,Food_Waste_kg
107,69.29,64.25,Buffet,Wednesday,0,12.43,21.1,8.17
394,205.09,151.04,Catering,Monday,0,22.69,33.6,58.46
291,156.35,127.65,Fine Dining,Tuesday,0,28.68,20.8,31.5
87,59.83,50.05,Bakery,Thursday,0,22.18,33.9,12.86
223,124.18,116.33,Fast Food,Saturday,1,11.76,17.0,8.87
359,188.53,142.63,Catering,Sunday,0,10.44,34.9,51.81
226,125.6,93.59,Fast Food,Tuesday,0,12.8,26.5,32.02
129,79.7,57.54,Buffet,Friday,0,7.43,21.8,24.18
485,248.14,187.15,Catering,Wednesday,1,7.98,21.1,67.82
371,194.2,148.68,Buffet,Monday,0,28.09,24.9,49.42
178,102.89,88.35,Fast Food,Monday,0,14.7,38.0,17.19
396,206.03,158.3,Catering,Thursday,1,16.39,20.1,53.77
128,79.23,57.4,Catering,Tuesday,1,21.6,17.4,27.33
313,166.76,150.39,Fine Dining,Sunday,0,21.46,28.5,16.85
58,46.11,36.91,Fine Dining,Thursday,1,4.22,26.2,10.84
350,184.27,147.01,Fast Food,Wednesday,0,29.44,27.1,39.72
397,206.51,162.43,Fast Food,Thursday,0,7.85,30.3,44.9
413,214.08,200.08,Fast Food,Saturday,0,25.86,21.1,16.08
193,109.98,83.3,Fine Dining,Monday,0,27.5,35.9,28.9
429,221.65,203.39,Bakery,Monday,0,25.59,25.0,19.68
299,160.14,142.67,Bakery,Friday,0,21.11,18.0,18.16
147,88.22,65.0,Bakery,Friday,0,2.48,32.1,25.45
410,212.66,199.28,Buffet,Sunday,0,13.89,29.8,18.06
324,171.97,134.09,Fast Food,Wednesday,0,21.96,22.3,38.05
98,65.04,48.24,Buffet,Saturday,0,14.79,29.3,20.5
164,96.26,86.87,Fine Dining,Tuesday,0,30.49,20.1,9.51
393,204.61,179.13,Fast Food,Thursday,0,12.19,25.2,25.52
312,166.29,142.31,Catering,Sunday,0,11.69,35.7,28.82
146,87.75,66.19,Fast Food,Wednesday,0,10.78,18.1,20.61
338,178.59,147.38,Buffet,Friday,1,12.98,23.9,36.01
284,153.04,136.47,Buffet,Thursday,0,20.39,33.9,20.1
375,196.1,154.29,Bakery,Friday,0,25.33,37.3,45.7
489,250.03,197.17,Fine Dining,Thursday,0,23.86,25.4,53.68
457,234.89,169.28,Buffet,Tuesday,0,28.65,26.7,70.01
286,153.99,116.78,Buffet,Wednesday,0,31.24,28.2,40.77
47,40.91,37.33,Bakery,Thursday,1,28.93,36.4,7.71
180,103.83,84.85,Buffet,Saturday,0,2.63,34.7,21.4
401,208.4,195.17,Bakery,Sunday,0,26.29,18.9,13.75
47,40.91,33.02,Bakery,Monday,0,8.88,25.0,9.75
391,203.67,178.69,Buffet,Saturday,0,6.39,25.7,29.78
133,81.6,63.81,Buffet,Saturday,0,23.07,33.1,22.33
360,189.0,151.21,Catering,Sunday,0,12.55,28.9,42.76
466,239.15,182.22,Fast Food,Monday,0,3.88,30.0,58.29
78,55.57,44.25,Fast Food,Saturday,0,6.54,38.0,12.67
120,75.44,63.4,Bakery,Thursday,0,2.03,16.7,14.13
226,125.6,117.84,Catering,Thursday,1,31.81,20.1,13.45
123,76.86,66.57,Catering,Thursday,0,2.81,24.4,13.04
127,78.76,60.16,Bakery,Monday,0,8.91,23.0,19.79
281,151.62,110.67,Fast Food,Saturday,0,15.74,15.5,41.45
381,198.94,148.77,Buffet,Monday,0,13.77,17.1,53.75
132,81.12,68.45,Bakery,Thursday,1,32.09,30.7,16.62
125,77.81,69.12,Fine Dining,Sunday,0,3.33,35.2,10.61
83,57.94,53.7,Fast Food,Saturday,0,18.9,26.8,5.7
176,101.94,73.75,Catering,Saturday,1,24.46,27.4,34.24
460,236.31,197.32,Buffet,Friday,0,32.75,20.9,44.35
113,72.13,59.41,Fast Food,Friday,1,22.47,32.7,17.15
75,54.15,46.8,Buffet,Tuesday,0,28.52,32.3,12.49
140,84.91,71.59,Fast Food,Wednesday,0,4.76,28.5,13.64
195,110.93,96.64,Buffet,Friday,0,14.74,19.9,17.66
465,238.68,206.41,Buffet,Monday,0,14.34,17.2,35.76
294,157.77,117.66,Buffet,Friday,1,31.25,16.5,45.67
210,118.03,105.75,Fine Dining,Tuesday,0,7.0,28.6,12.35
255,139.32,104.09,Bakery,Saturday,0,7.01,34.0,35.49
209,117.55,102.7,Fine Dining,Tuesday,0,12.84,34.7,16.94
291,156.35,126.89,Catering,Saturday,0,3.8,25.7,33.45
399,207.45,172.82,Fast Food,Sunday,0,8.02,33.0,34.77
361,189.47,174.07,Fast Food,Sunday,1,33.85,36.8,20.36
94,63.14,57.82,Catering,Saturday,0,16.13,21.3,8.49
495,252.87,227.56,Buffet,Wednesday,0,22.86,24.2,28.43
471,241.52,201.0,Catering,Friday,0,25.96,36.4,46.87
130,80.18,70.72,Buffet,Monday,0,14.11,22.8,11.73
317,168.65,140.46,Catering,Monday,0,6.86,36.0,31.87
140,84.91,77.38,Buffet,Thursday,0,8.82,37.6,13.27
194,110.46,89.32,Catering,Saturday,1,12.34,30.2,26.65
416,215.5,201.16,Fine Dining,Monday,0,22.99,33.8,17.13
388,202.25,187.1,Catering,Wednesday,0,15.14,32.2,18.11
490,250.51,221.24,Buffet,Saturday,0,2.22,31.1,31.11
403,209.34,163.59,Fine Dining,Wednesday,1,19.27,22.1,47.59
180,103.83,77.76,Catering,Monday,0,32.41,16.3,29.98
212,118.97,108.03,Fine Dining,Monday,0,28.8,22.9,10.97
49,41.85,31.65,Fine Dining,Thursday,0,29.23,30.3,12.01
267,145.0,131.65,Fine Dining,Monday,0,28.24,17.4,14.83
304,162.5,134.54,Fast Food,Saturday,0,12.68,15.3,27.75
477,244.36,197.8,Fine Dining,Sunday,0,27.25,18.2,47.0
287,154.46,141.9,Fine Dining,Saturday,0,6.72,31.5,12.8
286,153.99,131.33,Catering,Saturday,0,23.7,37.4,27.09
194,110.46,93.54,Buffet,Thursday,1,23.17,37.6,21.27
73,53.21,44.85,Fast Food,Thursday,1,2.84,26.4,10.21
168,98.16,78.69,Catering,Monday,0,28.0,35.0,24.3
199,112.82,100.73,Catering,Tuesday,0,31.81,31.9,16.68
128,79.23,61.45,Fast Food,Tuesday,0,10.82,26.5,17.4
132,81.12,75.16,Fine Dining,Thursday,0,28.81,28.2,7.79
366,191.84,175.86,Fast Food,Monday,0,4.72,18.2,18.11
280,151.15,120.05,Buffet,Tuesday,0,21.8,36.6,35.09
362,189.95,167.25,Fast Food,Monday,0,18.03,23.1,24.54
443,228.27,193.14,Fast Food,Monday,1,20.02,25.3,38.02
156,92.48,73.46,Fine Dining,Monday,0,32.56,30.4,20.71
133,81.6,76.5,Buffet,Friday,0,30.75,22.7,8.55
202,114.24,82.89,Catering,Saturday,0,27.91,20.8,35.4
138,83.96,65.12,Catering,Monday,0,11.03,29.5,23.43
152,90.59,75.59,Fine Dining,Friday,0,32.09,15.6,15.37
398,206.98,172.79,Fine Dining,Thursday,0,5.22,31.6,34.72
130,80.18,68.12,Fast Food,Tuesday,0,30.16,26.8,14.27
385,200.83,177.81,Bakery,Saturday,0,12.83,28.9,25.46
245,134.59,115.37,Fine Dining,Sunday,0,3.77,29.5,18.7
56,45.16,38.48,Buffet,Tuesday,0,24.09,27.1,10.0
313,166.76,122.03,Catering,Saturday,1,9.63,28.4,50.56
212,118.97,95.51,Bakery,Sunday,1,10.04,30.7,27.6
155,92.0,70.94,Catering,Tuesday,1,12.1,32.3,27.77
388,202.25,157.43,Bakery,Saturday,0,4.1,31.7,46.85
220,122.76,103.36,Fine Dining,Tuesday,0,7.85,35.0,21.21
130,80.18,61.25,Fast Food,Tuesday,1,2.17,19.4,21.09
121,75.92,59.57,Catering,Sunday,0,16.7,24.2,21.28
363,190.42,147.03,Catering,Tuesday,0,4.78,36.8,47.56
488,249.56,231.76,Buffet,Tuesday,0,24.53,24.1,21.32
153,91.06,84.49,Buffet,Sunday,0,9.78,17.9,8.65
296,158.72,135.58,Fast Food,Thursday,1,33.14,27.1,25.3
97,64.56,59.61,Bakery,Monday,0,30.75,17.5,7.44
193,109.98,98.2,Catering,Wednesday,0,11.55,19.7,14.66
404,209.82,178.3,Buffet,Friday,0,27.85,38.0,36.59
443,228.27,164.68,Fine Dining,Wednesday,0,28.51,27.5,66.02
155,92.0,81.88,Fast Food,Wednesday,1,34.56,21.5,14.55
382,199.41,174.39,Catering,Saturday,0,21.73,37.9,32.15
305,162.98,139.41,Bakery,Monday,0,4.7,37.2,27.45
354,186.16,165.18,Bakery,Saturday,1,23.35,25.1,26.64
242,133.17,110.91,Fast Food,Monday,0,22.62,21.0,23.51
80,56.52,49.45,Fast Food,Sunday,0,23.07,34.3,8.22
144,86.8,80.35,Fast Food,Sunday,0,12.14,31.5,6.66
428,221.17,177.53,Buffet,Monday,0,30.37,30.8,48.89
417,215.97,189.14,Catering,Tuesday,0,33.66,35.5,32.34
232,128.44,105.92,Bakery,Thursday,0,9.18,30.9,24.42
440,226.85,196.99,Catering,Tuesday,0,4.91,21.5,32.62
317,168.65,149.73,Catering,Thursday,0,8.42,31.0,22.36
393,204.61,149.37,Fine Dining,Saturday,1,29.08,22.0,58.51
276,149.26,128.7,Bakery,Thursday,0,24.33,32.5,22.36
464,238.21,183.39,Catering,Saturday,0,22.99,29.3,59.14
260,141.68,122.89,Bakery,Sunday,0,15.26,16.8,21.61
107,69.29,57.03,Buffet,Wednesday,0,21.07,26.8,13.9
236,130.33,116.02,Fast Food,Sunday,0,12.16,22.9,13.56
295,158.24,118.23,Buffet,Sunday,1,17.75,22.6,45.56
178,102.89,88.26,Catering,Wednesday,1,28.17,28.9,21.78
351,184.74,144.33,Fine Dining,Thursday,0,34.38,22.4,41.39
474,242.94,220.51,Buffet,Thursday,1,32.77,32.9,27.18
188,107.62,99.47,Fine Dining,Saturday,0,32.82,16.6,10.61
138,83.96,78.86,Fine Dining,Tuesday,0,15.27,30.2,5.39
115,73.08,65.42,Fast Food,Saturday,0,17.47,33.6,8.91
321,170.55,151.08,Buffet,Tuesday,1,25.29,30.5,25.41
410,212.66,163.2,Fine Dining,Sunday,0,32.43,26.4,50.22
442,227.8,180.86,Fine Dining,Wednesday,0,6.69,36.9,47.84
148,88.69,72.94,Bakery,Sunday,0,12.04,21.9,16.55
227,126.07,112.22,Fine Dining,Monday,0,6.6,15.4,15.6
238,131.28,120.95,Catering,Thursday,0,22.2,24.9,15.15
342,180.48,137.46,Fine Dining,Tuesday,1,12.11,15.8,45.76
366,191.84,177.05,Fine Dining,Saturday,1,12.76,36.9,16.69
193,109.98,96.02,Catering,Wednesday,0,4.34,19.8,17.6
79,56.05,47.89,Fast Food,Tuesday,1,13.54,33.1,11.69
172,100.05,76.43,Buffet,Saturday,0,30.46,32.8,27.04
444,228.74,167.49,Buffet,Thursday,1,9.69,20.0,66.14
171,99.58,84.15,Bakery,Sunday,0,24.94,29.3,18.46
318,169.13,146.02,Fine Dining,Thursday,0,22.78,16.1,24.48
401,208.4,159.71,Bakery,Friday,0,30.49,26.1,50.37
123,76.86,64.75,Buffet,Monday,1,6.37,15.3,16.68
438,225.9,205.21,Buffet,Friday,0,34.26,36.2,26.37
281,151.62,137.02,Buffet,Wednesday,0,21.23,37.4,19.41
155,92.0,85.01,Fast Food,Tuesday,0,34.85,20.1,9.39
148,88.69,71.0,Fine Dining,Wednesday,0,32.08,19.8,19.29
260,141.68,111.92,Fast Food,Sunday,0,9.31,32.3,31.38
431,222.59,196.96,Fast Food,Saturday,0,3.85,20.8,26.44
80,56.52,46.06,Catering,Thursday,1,10.44,35.6,15.96
407,211.24,156.16,Fast Food,Friday,0,19.41,28.2,55.93
186,106.67,83.44,Fine Dining,Friday,0,7.66,23.1,23.27
151,90.11,73.18,Bakery,Sunday,0,7.53,34.2,20.0
142,85.85,67.34,Fast Food,Friday,1,17.27,26.3,21.37
85,58.88,46.7,Fine Dining,Sunday,1,3.1,36.0,15.15
451,232.06,182.08,Catering,Wednesday,0,6.02,36.3,53.44
363,190.42,138.84,Catering,Thursday,0,15.72,18.8,53.93
417,215.97,185.77,Buffet,Tuesday,0,4.08,15.1,33.11
310,165.34,140.77,Catering,Saturday,0,15.09,37.6,29.04
460,236.31,204.11,Fast Food,Tuesday,1,17.64,35.8,36.41
424,219.28,167.16,Fast Food,Wednesday,0,16.89,16.3,51.48
234,129.38,101.57,Fast Food,Saturday,0,30.68,34.2,31.24
406,210.76,180.48,Catering,Friday,0,19.49,25.5,34.59
319,169.6,144.49,Fast Food,Monday,1,17.44,21.0,27.69
322,171.02,142.18,Fast Food,Wednesday,0,15.55,35.2,31.89
79,56.05,44.68,Fine Dining,Wednesday,0,28.98,19.5,13.29
486,248.62,228.94,Buffet,Thursday,0,31.54,36.8,24.38
228,126.54,100.57,Buffet,Tuesday,1,30.16,19.7,31.54
203,114.72,94.1,Buffet,Wednesday,0,24.23,29.1,22.68
63,48.48,42.14,Buffet,Wednesday,0,6.53,20.1,9.95
63,48.48,40.7,Buffet,Friday,0,11.14,27.6,10.49
43,39.01,31.06,Buffet,Friday,0,3.52,30.7,9.41
362,189.95,154.97,Fine Dining,Saturday,0,32.72,19.4,35.34
329,174.33,155.99,Buffet,Sunday,0,23.81,27.0,22.49
480,245.78,192.0,Fast Food,Sunday,0,26.63,25.8,56.14
472,241.99,181.81,Catering,Monday,0,12.28,16.6,63.69
220,122.76,96.84,Fast Food,Sunday,0,29.91,33.8,27.2
287,154.46,140.08,Fine Dining,Thursday,1,10.57,22.7,15.47
155,92.0,68.04,Buffet,Monday,0,2.05,28.2,27.7
318,169.13,158.67,Buffet,Saturday,1,14.42,26.8,15.7
404,209.82,176.04,Buffet,Friday,0,20.84,26.8,36.85
108,69.77,65.35,Buffet,Sunday,0,17.8,17.5,7.18
390,203.19,188.27,Fast Food,Tuesday,0,30.45,24.7,16.68
293,157.3,128.93,Buffet,Friday,0,5.48,25.4,31.6
220,122.76,93.75,Buffet,Thursday,0,20.28,31.9,32.19
357,187.58,141.86,Buffet,Friday,0,18.93,34.3,49.01
208,117.08,90.48,Fast Food,Thursday,0,11.29,27.5,26.18
352,185.21,162.29,Buffet,Thursday,1,29.13,17.0,28.01
288,154.93,120.85,Fast Food,Thursday,0,26.84,20.4,34.6
227,126.07,100.24,Fine Dining,Saturday,1,26.18,18.8,29.97
93,62.67,51.31,Fine Dining,Thursday,0,30.91,17.9,12.19
365,191.36,176.23,Buffet,Thursday,0,25.85,23.4,17.66
396,206.03,156.93,Bakery,Tuesday,0,9.65,20.3,49.53
352,185.21,133.56,Fine Dining,Monday,0,25.28,20.0,52.51
177,102.41,75.09,Buffet,Wednesday,0,12.15,16.3,28.85
207,116.61,107.17,Catering,Monday,0,9.99,15.4,12.79
430,222.12,191.57,Catering,Thursday,0,4.41,17.4,32.66
142,85.85,66.97,Buffet,Tuesday,0,26.55,19.0,23.37
461,236.79,179.72,Fast Food,Friday,0,25.46,24.9,58.18
124,77.34,60.69,Bakery,Tuesday,1,9.74,26.7,21.54
356,187.11,139.44,Bakery,Thursday,1,26.73,18.2,51.36
251,137.43,127.42,Buffet,Tuesday,0,32.29,24.8,11.3
42,38.54,34.4,Buffet,Sunday,0,5.56,22.9,8.03
423,218.81,179.8,Fast Food,Tuesday,0,9.68,19.2,39.8
218,121.81,110.88,Fast Food,Thursday,0,26.76,15.2,12.53
381,198.94,154.15,Fine Dining,Saturday,1,11.06,25.7,46.23
342,180.48,158.42,Fast Food,Sunday,0,22.61,30.8,23.35
491,250.98,227.98,Fast Food,Tuesday,0,4.68,20.2,23.34
371,194.2,155.07,Bakery,Wednesday,0,16.92,18.0,40.62
77,55.1,48.85,Buffet,Wednesday,0,26.39,35.4,9.53
459,235.84,185.11,Fast Food,Tuesday,0,24.65,21.3,53.93
278,150.2,118.02,Bakery,Saturday,1,28.9,20.1,36.8
208,117.08,87.06,Catering,Friday,0,30.96,34.7,35.6
492,251.45,205.39,Fine Dining,Thursday,0,27.52,33.8,49.08
436,224.96,198.09,Fine Dining,Wednesday,1,24.16,25.3,30.15
382,199.41,184.82,Buffet,Friday,0,3.05,26.3,16.67
353,185.69,158.36,Fast Food,Tuesday,0,19.65,20.0,29.12
345,181.9,165.51,Fine Dining,Friday,0,3.24,16.8,17.2
69,51.31,46.23,Buffet,Sunday,0,28.67,28.2,8.25
229,127.02,96.3,Fast Food,Monday,1,12.58,17.3,33.66
396,206.03,170.36,Fast Food,Wednesday,0,20.56,25.3,36.3
64,48.95,36.5,Buffet,Tuesday,1,11.22,36.6,18.66
151,90.11,78.4,Fast Food,Thursday,0,27.82,36.9,14.64
450,231.58,215.13,Buffet,Saturday,1,31.25,20.5,23.09
474,242.94,182.24,Fast Food,Sunday,0,15.16,29.4,61.0
245,134.59,118.63,Buffet,Tuesday,1,30.48,25.9,21.77
224,124.65,107.09,Catering,Thursday,0,10.81,35.1,23.67
421,217.86,184.83,Fine Dining,Saturday,1,19.64,21.2,35.47
418,216.44,174.41,Fine Dining,Saturday,0,30.34,15.1,43.4
86,59.36,47.38,Bakery,Tuesday,0,12.75,18.7,15.1
413,214.08,156.27,Fast Food,Sunday,1,33.48,23.0,61.46
267,145.0,111.35,Buffet,Friday,0,6.02,22.3,35.21
78,55.57,40.2,Fine Dining,Friday,1,2.6,33.2,17.42
55,44.69,37.89,Fine Dining,Saturday,0,31.84,30.7,9.03
61,47.53,35.33,Bakery,Friday,0,4.27,21.9,13.71
252,137.9,125.77,Fast Food,Monday,0,34.73,25.5,13.65
349,183.79,153.48,Buffet,Saturday,0,33.4,17.2,35.87
188,107.62,94.05,Fast Food,Saturday,0,6.52,35.7,14.49
495,252.87,204.92,Fast Food,Thursday,0,19.74,36.5,49.96
280,151.15,127.47,Fine Dining,Friday,0,8.1,37.5,23.86
311,165.82,153.78,Fine Dining,Sunday,0,16.13,35.0,14.66
98,65.04,48.01,Fast Food,Saturday,0,4.03,19.0,16.55
326,172.91,134.16,Catering,Sunday,0,9.39,16.1,42.97
465,238.68,212.81,Fine Dining,Monday,0,13.99,28.3,27.24
241,132.7,98.43,Buffet,Thursday,0,16.48,36.0,40.51
71,52.26,38.5,Buffet,Tuesday,0,34.26,19.1,18.15
482,246.72,197.26,Buffet,Sunday,1,28.66,15.2,54.62
201,113.77,84.22,Buffet,Saturday,1,26.33,33.5,36.09
294,157.77,133.9,Buffet,Monday,0,19.72,16.8,26.55
293,157.3,121.09,Buffet,Wednesday,0,29.72,24.5,40.15
48,41.38,37.95,Fast Food,Monday,1,13.2,30.6,5.99
178,102.89,91.82,Buffet,Monday,0,25.39,20.4,14.53
49,41.85,36.57,Catering,Thursday,0,34.79,16.9,8.95
253,138.37,118.41,Buffet,Tuesday,0,12.38,32.7,23.9
312,166.29,151.32,Fine Dining,Wednesday,0,24.24,29.5,16.82
363,190.42,146.45,Fast Food,Friday,0,29.86,37.7,45.3
87,59.83,54.57,Catering,Friday,0,32.22,22.9,9.0
475,243.41,217.53,Buffet,Sunday,1,25.69,16.4,31.34
150,89.64,79.3,Fast Food,Monday,1,11.36,31.9,11.3
192,109.51,92.37,Catering,Thursday,0,12.77,27.0,22.04
162,95.32,73.79,Catering,Thursday,0,2.69,19.9,24.07
444,228.74,186.01,Bakery,Friday,1,27.11,33.0,46.61
396,206.03,184.31,Fast Food,Sunday,0,3.41,19.7,21.69
141,85.38,62.07,Buffet,Sunday,0,30.53,21.0,27.14
280,151.15,134.83,Fine Dining,Sunday,0,5.92,17.1,15.95
360,189.0,146.06,Catering,Wednesday,1,7.67,24.2,48.83
230,127.49,95.84,Fine Dining,Tuesday,0,17.73,24.6,32.68
256,139.79,104.21,Fine Dining,Wednesday,1,26.35,26.8,37.76
90,61.25,44.47,Fast Food,Saturday,1,6.59,31.3,18.92
331,175.28,146.39,Bakery,Saturday,0,16.52,35.8,30.51
120,75.44,57.94,Buffet,Tuesday,0,17.93,18.2,19.71
422,218.33,204.72,Fast Food,Friday,0,9.01,16.3,14.28
127,78.76,66.66,Fast Food,Tuesday,0,5.81,15.4,11.67
233,128.91,96.73,Fine Dining,Thursday,0,29.6,18.3,34.81
143,86.33,75.24,Buffet,Saturday,0,18.58,30.1,14.7
310,165.34,151.7,Buffet,Monday,0,2.47,31.7,15.71
135,82.54,72.96,Fine Dining,Monday,1,28.5,33.1,12.37
462,237.26,174.82,Fast Food,Friday,0,34.37,20.6,64.66
418,216.44,198.5,Fine Dining,Thursday,0,22.0,22.0,18.76
237,130.8,117.02,Buffet,Wednesday,0,18.62,26.1,17.82
40,37.59,28.37,Fast Food,Thursday,0,30.99,16.5,10.17
446,229.69,167.99,Fine Dining,Monday,0,33.43,29.1,62.75
417,215.97,181.98,Buffet,Monday,0,26.9,37.6,39.9
206,116.14,87.61,Fast Food,Saturday,0,16.7,23.3,28.51
165,96.74,87.42,Buffet,Thursday,0,21.54,32.3,13.72
352,185.21,147.95,Buffet,Thursday,0,25.13,26.5,40.6
120,75.44,69.47,Catering,Monday,0,8.41,17.9,10.01
457,234.89,198.35,Fast Food,Wednesday,0,16.76,28.4,38.73
290,155.88,118.5,Bakery,Friday,1,29.38,21.9,41.04
208,117.08,87.89,Fast Food,Sunday,0,23.61,15.8,29.7
112,71.66,60.68,Fine Dining,Friday,0,15.57,29.6,12.38
180,103.83,92.16,Bakery,Thursday,0,23.89,34.8,13.78
109,70.24,62.65,Fine Dining,Friday,0,5.9,22.9,9.12
301,161.08,125.75,Fast Food,Monday,0,15.25,24.0,37.1
379,197.99,151.45,Fast Food,Monday,0,28.17,35.5,47.99
347,182.85,132.33,Fast Food,Thursday,0,9.28,33.7,50.48
284,153.04,133.06,Catering,Thursday,0,8.14,31.4,22.89
42,38.54,28.4,Bakery,Sunday,0,33.38,20.7,11.56
376,196.57,159.73,Catering,Sunday,0,8.93,35.9,42.02
102,66.93,57.05,Buffet,Saturday,0,10.61,18.6,14.04
88,60.3,55.85,Bakery,Thursday,1,34.0,29.4,9.45
115,73.08,57.63,Catering,Wednesday,0,26.25,15.7,19.31
407,211.24,163.7,Buffet,Friday,0,25.09,29.8,51.59
214,119.92,103.6,Buffet,Thursday,0,30.15,21.4,19.33
148,88.69,75.94,Bakery,Tuesday,0,5.82,25.3,14.86
222,123.71,98.11,Fine Dining,Saturday,0,25.3,22.9,26.96
231,127.96,118.26,Bakery,Tuesday,0,18.62,19.0,12.06
104,67.87,61.48,Buffet,Monday,0,29.36,29.3,9.68
376,196.57,151.22,Bakery,Sunday,0,18.77,35.3,48.06
490,250.51,193.55,Buffet,Friday,0,22.47,37.1,62.3
310,165.34,137.68,Buffet,Thursday,0,17.77,19.4,32.03
139,84.43,75.16,Buffet,Tuesday,0,17.78,31.5,12.52
71,52.26,38.13,Bakery,Friday,0,27.34,30.3,17.19
391,203.67,177.71,Fine Dining,Monday,0,22.74,22.9,26.3
167,97.68,84.26,Fine Dining,Sunday,1,22.9,15.4,17.83
491,250.98,193.49,Fast Food,Wednesday,0,16.86,30.9,58.27
441,227.32,197.75,Catering,Saturday,0,19.53,36.7,35.17
408,211.71,196.22,Fast Food,Friday,0,26.61,29.5,16.91
378,197.52,144.25,Bakery,Friday,1,29.26,25.0,59.32
82,57.47,45.42,Fast Food,Wednesday,0,24.99,27.1,13.23
411,213.13,174.0,Fast Food,Friday,0,32.49,19.6,40.02
458,235.37,216.03,Fast Food,Monday,0,29.07,32.3,21.66
117,74.03,68.97,Fast Food,Monday,0,20.54,32.2,7.01
353,185.69,151.84,Bakery,Wednesday,0,24.16,18.3,35.69
328,173.86,153.87,Fine Dining,Saturday,0,32.57,35.2,21.5
309,164.87,137.99,Buffet,Thursday,1,22.43,21.2,31.65
201,113.77,95.37,Catering,Tuesday,0,29.22,37.6,24.71
228,126.54,98.85,Fast Food,Thursday,0,24.73,23.8,27.28
286,153.99,118.22,Fine Dining,Friday,1,20.21,19.1,38.18
427,220.7,172.89,Catering,Tuesday,0,9.98,23.1,52.01
255,139.32,117.36,Fine Dining,Wednesday,0,16.06,25.1,22.53
354,186.16,135.23,Buffet,Wednesday,0,33.94,16.6,56.53
452,232.53,213.83,Catering,Saturday,0,23.71,28.3,21.3
378,197.52,149.01,Fine Dining,Tuesday,0,20.63,28.7,48.67
429,221.65,170.32,Fast Food,Monday,1,32.79,32.0,53.19
416,215.5,179.73,Buffet,Tuesday,0,21.35,15.7,40.72
472,241.99,212.04,Bakery,Friday,0,19.36,27.4,30.97
207,116.61,86.42,Fine Dining,Monday,0,27.06,16.2,29.68
378,197.52,156.02,Fine Dining,Sunday,1,25.52,31.1,44.3
232,128.44,119.85,Catering,Sunday,1,8.37,16.3,12.61
492,251.45,195.56,Bakery,Sunday,1,17.55,36.0,60.11
322,171.02,134.91,Buffet,Wednesday,0,17.59,31.1,39.81
375,196.1,177.28,Fast Food,Tuesday,0,14.48,26.7,20.04
429,221.65,162.04,Buffet,Sunday,0,19.07,25.2,62.73
52,43.27,35.58,Bakery,Thursday,0,15.63,18.0,9.34
279,150.67,121.07,Buffet,Saturday,0,8.58,21.7,31.98
359,188.53,148.87,Fine Dining,Thursday,0,15.61,35.0,40.13
485,248.14,194.26,Bakery,Sunday,0,4.39,35.8,54.75
186,106.67,78.95,Catering,Saturday,0,21.0,15.0,31.27
243,133.64,105.48,Fast Food,Friday,0,30.17,28.7,29.54
119,74.97,54.69,Bakery,Thursday,0,25.93,31.5,22.49
418,216.44,193.02,Buffet,Tuesday,0,13.89,29.2,25.21
82,57.47,46.41,Bakery,Tuesday,0,4.87,16.9,12.42
497,253.82,207.54,Buffet,Thursday,0,8.67,20.0,50.43
128,79.23,72.62,Fast Food,Sunday,0,20.0,20.8,7.32
187,107.15,92.66,Bakery,Tuesday,0,8.83,34.1,16.29
134,82.07,59.24,Buffet,Friday,0,19.95,25.7,26.08
491,250.98,232.78,Buffet,Monday,0,9.64,26.2,20.2
467,239.63,185.04,Bakery,Sunday,1,30.01,36.5,58.93
190,108.56,80.73,Bakery,Friday,0,15.11,29.7,30.05
41,38.07,33.84,Fine Dining,Saturday,0,10.1,35.7,6.58
415,215.02,178.49,Fine Dining,Friday,0,28.81,25.5,37.56
61,47.53,38.76,Fine Dining,Sunday,0,13.31,18.4,7.72
410,212.66,164.79,Fast Food,Saturday,0,5.68,36.4,49.64
352,185.21,155.66,Fast Food,Sunday,0,20.82,25.6,32.04
367,192.31,150.07,Buffet,Tuesday,1,21.19,19.2,47.19
46,40.43,37.13,Catering,Monday,0,25.58,22.0,7.18
245,134.59,103.28,Fine Dining,Sunday,1,9.93,16.2,32.81
479,245.3,224.34,Fast Food,Sunday,0,16.64,25.8,22.01
414,214.55,180.88,Fast Food,Tuesday,0,11.32,34.6,34.58
490,250.51,226.03,Catering,Wednesday,1,4.67,36.5,31.56
153,91.06,79.84,Buffet,Tuesday,0,30.93,36.4,15.69
311,165.82,144.81,Fine Dining,Saturday,0,26.05,17.9,22.33
122,76.39,60.45,Fine Dining,Tuesday,0,11.95,23.8,16.38
218,121.81,93.97,Fine Dining,Tuesday,0,21.78,15.6,29.96
249,136.48,104.6,Buffet,Monday,0,8.64,34.7,36.06
367,192.31,174.73,Catering,Tuesday,0,31.38,23.3,22.94
163,95.79,86.26,Catering,Sunday,0,5.79,29.5,13.07
152,90.59,74.01,Fine Dining,Monday,0,2.13,31.4,17.04
51,42.8,32.06,Fine Dining,Thursday,0,18.57,24.9,11.45
165,96.74,77.79,Catering,Wednesday,0,21.24,22.0,22.18
92,62.2,53.26,Bakery,Monday,0,21.11,37.1,12.57
370,193.73,158.85,Buffet,Saturday,0,3.8,37.2,38.36
428,221.17,197.2,Fine Dining,Thursday,0,12.36,21.7,24.55
